'+++++++++++++++++++++
Qualify
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Qualify"
Track:, "hockenheim_2018"
Pole, "McLarenTim(01:44.9640)"
Lasted laps, "6"
Host, "Unknown"



Qualify result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "", "ks_porsche_cayman_gt4_clubsport", "McLarenTim", "6", "01:44.9640", "-",
"2",   "", "", "ks_porsche_cayman_gt4_clubsport", "PhotonBurst", "6", "01:45.0720", "00:00.1080",
"3",   "", "", "ks_porsche_cayman_gt4_clubsport", "Electro", "5", "01:45.1380", "00:00.1740",
"4",   "", "", "ks_porsche_cayman_gt4_clubsport", "gunciz", "5", "01:45.3890", "00:00.4250",
"3",  "", "", "ks_porsche_cayman_gt4_clubsport", "PhotonBurst", "13", "  '+00:15.8830", "01:45.1080", "98.74%", "0", "0", 
"4",  "", "", "ks_porsche_cayman_gt4_clubsport", "gunciz", "13", "  '+00:17.1570", "01:45.1600", "98.79%", "0", "0", 
"5",  "", "", "ks_porsche_cayman_gt4_clubsport", "NotJames", "13", "  '+00:18.6980", "01:45.3780", "98.98%", "0", "0", 
"6",  "", "", "ks_porsche_cayman_gt4_clubsport", "gman197002", "13", "  '+00:20.0310", "01:45.9040", "99.47%", "0", "0", 
"7",  "", "", "ks_porsche_cayman_gt4_clubsport", "MrGrinder", "13", "  '+00:21.3920", "01:45.5620", "99.01%", "0", "0", 
"8",  "", "", "ks_porsche_cayman_gt4_clubsport", "Georgin", "13", "  '+00:24.3700", "01:46.1070", "99.34%", "0", "0", 
"9",  "", "", "ks_porsche_cayman_gt4_clubsport", "Salzeder", "13", "  '+00:24.7360", "01:46.0720", "99.34%", "0", "0", 
"10",  "", "", "ks_porsche_cayman_gt4_clubsport", "Crosdale", "13", "  '+00:43.9340", "01:47.4850", "99.27%", "0", "0", 
"11",  "", "", "ks_porsche_cayman_gt4_clubsport", "Echo51", "13", "  '+00:44.0760", "01:46.8290", "99.28%", "0", "0", 
"12",  "", "", "ks_porsche_cayman_gt4_clubsport", "Trempale", "0", " DNF", "-", "-", "0", "0", 
"13",  "", "", "ks_porsche_cayman_gt4_clubsport", "Waffles", "0", " DNF", "-", "-", "0", "0", 


Race 1 laps
'======================
Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"McLarenTim"
"1 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:50.7760", "29.4210", "48.4100", "32.9450",  "F:H - R:H",     
"2 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:44.9590", "24.0360", "48.1230", "32.8000",  "F:H - R:H",     
"3 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:44.8870", "23.8600", "48.1950", "32.8320",  "F:H - R:H",     
"4 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:45.1790", "23.9910", "48.2030", "32.9850",  "F:H - R:H",     
"5 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:44.9610", "23.9160", "48.1270", "32.9180",  "F:H - R:H",     
"6 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:44.9300", "23.7680", "48.1510", "33.0110",  "F:H - R:H",     
"7 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:45.4020", "24.1000", "48.2220", "33.0800",  "F:H - R:H",     
"8 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:45.0660", "23.9710", "48.0920", "33.0030",  "F:H - R:H",     
"9 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:45.1920", "24.0650", "48.1500", "32.9770",  "F:H - R:H",     
"10 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:44.9850", "23.7280", "48.1500", "33.1070",  "F:H - R:H",     
"11 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:44.9350", "23.8900", "48.2620", "32.7830",  "F:H - R:H",     
"12 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:45.1970", "23.9640", "48.1500", "33.0830",  "F:H - R:H",     
"13 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:45.2670", "23.9160", "48.2980", "33.0530",  "F:H - R:H",     
Average,,,"01:45.5181", "24.3558", "48.1948", "32.9675"
Best possible,,, "01:44.6030", "23.7280", "48.0920", "32.7830"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Electro"
"1 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:52.3670", "29.8740", "49.1930", "33.3000",  "F:H - R:H",     
"2 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:45.2940", "24.0100", "48.2800", "33.0040",  "F:H - R:H",     
"3 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:45.5150", "24.2540", "48.2850", "32.9760",  "F:H - R:H",     
"4 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:45.3520", "23.7310", "48.4380", "33.1830",  "F:H - R:H",     
"5 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:48.0230", "25.3090", "49.4230", "33.2910",  "F:H - R:H",     
"6 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:45.8330", "23.9150", "48.6010", "33.3170",  "F:H - R:H",     
"7 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:45.4010", "23.8750", "48.3700", "33.1560",  "F:H - R:H",     
"8 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:45.7800", "24.0100", "48.5460", "33.2240",  "F:H - R:H",     
"9 ", ks_porsche_cayman_gt4_clubsport, no,"0", "01:45.6140", "23.9670", "48.3700", "33.2770",  "F:H - R:H",     
