'+++++++++++++++++++++
Qualify
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Qualify"
Track:, "vir, north course_prc"
Pole, "NotJames(01:36.8420)"
Lasted laps, "9"
Host, "Unknown"



Qualify result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "", "ks_mazda_mx5_cup", "NotJames", "8", "01:36.8420", "-",
"2",   "", "", "ks_mazda_mx5_cup", "MrGrinder", "7", "01:37.1050", "00:00.2630",
"3",   "", "", "ks_mazda_mx5_cup", "McLarenTim", "9", "01:37.2720", "00:00.4300",
"4",   "", "", "ks_mazda_mx5_cup", "maestro", "8", "01:37.5420", "00:00.7000",
"5",   "", "", "ks_mazda_mx5_cup", "gunciz", "9", "01:37.5730", "00:00.7310",
"6",   "", "", "ks_mazda_mx5_cup", "NihonTiger", "9", "01:37.7930", "00:00.9510",
"7",   "", "", "ks_mazda_mx5_cup", "PhotonBurst", "9", "01:37.7950", "00:00.9530",
"8",   "", "", "ks_mazda_mx5_cup", "Salzeder", "9", "01:37.9240", "00:01.0820",
"6 ", ks_mazda_mx5_cup, no,"0", "01:38.6530", "45.5620", "21.8830", "31.2080",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:39.4690", "46.1930", "21.9780", "31.2980",  "F:H - R:H",     
"8 ", ks_mazda_mx5_cup, no,"0", "01:38.2040", "45.0640", "21.9280", "31.2120",  "F:H - R:H",     
"9 ", ks_mazda_mx5_cup, no,"0", "01:38.3680", "44.9940", "22.0490", "31.3250",  "F:H - R:H",     
Average,,,"01:44.5312", "48.7457", "22.1779", "33.6076"
Best possible,,, "01:37.8910", "44.9440", "21.8020", "31.1450"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Viperion_NZ"
"1 ", ks_mazda_mx5_cup, no,"0", "02:23.2990", "88.9210", "22.1400", "32.2380",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:39.7340", "45.9770", "22.1310", "31.6260",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "01:39.4070", "45.8890", "21.7080", "31.8100",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:39.1920", "45.5970", "21.8150", "31.7800",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "01:38.8730", "45.5260", "21.9380", "31.4090",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "02:25.4430", "92.0680", "21.8380", "31.5370",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:38.1630", "45.2520", "21.5860", "31.3250",  "F:H - R:H",     
"8 ", ks_mazda_mx5_cup, no,"0", "01:38.6710", "45.1070", "21.8520", "31.7120",  "F:H - R:H",     
"9 ", ks_mazda_mx5_cup, no,"0", "01:38.4340", "45.1140", "21.7800", "31.5400",  "F:H - R:H",     
Average,,,"01:49.0240", "55.4946", "21.8653", "31.6641"
Best possible,,, "01:38.0180", "45.1070", "21.5860", "31.3250"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"marzen224"
"1 ", ks_mazda_mx5_cup, no,"0", "02:00.3630", "62.4930", "22.4550", "35.4150",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:39.0720", "45.6430", "22.0460", "31.3830",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "01:39.2870", "45.6470", "21.9970", "31.6430",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:38.9670", "45.5970", "22.1580", "31.2120",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "01:38.2160", "45.1080", "21.8870", "31.2210",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "01:38.1840", "45.3360", "21.7350", "31.1130",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:38.5580", "44.9360", "22.0010", "31.6210",  "F:H - R:H",     
Average,,,"01:41.8068", "47.8229", "22.0399", "31.9440"
Best possible,,, "01:37.7840", "44.9360", "21.7350", "31.1130"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Georgin"
"1 ", ks_mazda_mx5_cup, no,"0", "02:03.9540", "69.6120", "22.3920", "31.9500",  "F:H - R:H",     
