Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "", "ks_mazda_mx5_cup", "marzen224", "7", "01:36.5010", "-",
"2",   "", "", "ks_mazda_mx5_cup", "PhotonBurst", "8", "01:36.8910", "00:00.3900",
"3",   "", "", "ks_mazda_mx5_cup", "gunciz", "9", "01:36.9430", "00:00.4420",
"4",   "", "", "ks_mazda_mx5_cup", "Georgin", "7", "01:37.0680", "00:00.5670",
"5",   "", "", "ks_mazda_mx5_cup", "Salzeder", "9", "01:37.1010", "00:00.6000",
"6",   "", "", "ks_mazda_mx5_cup", "Waffles", "7", "01:37.1190", "00:00.6180",
"7",   "", "", "ks_mazda_mx5_cup", "McLarenTim", "7", "01:37.1440", "00:00.6430",
"8",   "", "", "ks_mazda_mx5_cup", "NihonTiger", "9", "01:37.2170", "00:00.7160",
"9",   "", "", "ks_mazda_mx5_cup", "nemaides", "7", "01:37.3300", "00:00.8290",
"10",   "", "", "ks_mazda_mx5_cup", "MrGrinder", "7", "01:37.4610", "00:00.9600",
"11",   "", "", "ks_mazda_mx5_cup", "maestro", "8", "01:37.5050", "00:01.0040",
"12",   "", "", "ks_mazda_mx5_cup", "xPsychedelix", "7", "01:37.6760", "00:01.1750",
"13",   "", "", "ks_mazda_mx5_cup", "Viperion_NZ", "4", "01:37.7470", "00:01.2460",
"14",   "", "", "ks_mazda_mx5_cup", "NotJames", "7", "01:37.9260", "00:01.4250",
"15",   "", "", "ks_mazda_mx5_cup", "Smartpipe", "8", "01:38.0710", "00:01.5700",
"16",   "", "", "ks_mazda_mx5_cup", "Barricade", "7", "01:39.9330", "00:03.4320",
"17",   "", "", "ks_mazda_mx5_cup", "Horanjo", "8", "01:40.1490", "00:03.6480",
"18",   "", "", "ks_mazda_mx5_cup", "Jifu", "8", "01:42.2200", "00:05.7190",
"19",   "", "", "ks_mazda_mx5_cup", "JEMknight657", "0", "-", "-",
"20",   "", "", "ks_mazda_mx5_cup", "Trempale", "0", "-", "-",
"21",   "", "", "ks_mazda_mx5_cup", "Electro", "0", "-", "-",

Qualify laps
'======================
"7 ", ks_mazda_mx5_cup, no,"0", "01:37.1440", "44.8270", "37.8760", "14.4410",  "F:H - R:H",     
Average,,,"01:53.9521", "60.9151", "38.4493", "14.5877"
Best possible,,, "01:36.9330", "44.7590", "37.7330", "14.4410"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"NihonTiger"
"1 ", ks_mazda_mx5_cup, no,"0", "01:41.1950", "48.8970", "37.6690", "14.6290",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:37.8460", "45.0930", "38.0430", "14.7100",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "01:38.4790", "45.2580", "38.6090", "14.6120",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:38.7720", "45.0640", "38.7850", "14.9230",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "01:44.4180", "45.2790", "39.2120", "19.9270",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "01:52.8660", "60.3600", "37.9070", "14.5990",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:37.2170", "44.7250", "37.8090", "14.6830",  "F:H - R:H",     
"8 ", ks_mazda_mx5_cup, no,"0", "01:38.5390", "45.0930", "38.9880", "14.4580",  "F:H - R:H",     
"9 ", ks_mazda_mx5_cup, no,"0", "01:38.1280", "44.8610", "38.7450", "14.5220",  "F:H - R:H",     
Average,,,"01:40.8289", "47.1811", "38.4186", "15.2292"
Best possible,,, "01:36.8520", "44.7250", "37.6690", "14.4580"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"nemaides"
"1 ", ks_mazda_mx5_cup, no,"0", "03:01.2290", "127.5540", "38.5730", "15.1020",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:39.7180", "46.5820", "38.2910", "14.8450",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "01:48.6800", "45.8420", "38.3400", "24.4980",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:38.7730", "45.7220", "38.2140", "14.8370",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "01:37.6280", "45.1860", "37.8710", "14.5710",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "02:59.8860", "127.7170", "37.7730", "14.3960",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:37.3300", "44.8560", "37.8400", "14.6340",  "F:H - R:H",     
Average,,,"02:03.3206", "69.0656", "38.1289", "16.1261"
Best possible,,, "01:37.0250", "44.8560", "37.7730", "14.3960"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"MrGrinder"
"1 ", ks_mazda_mx5_cup, no,"0", "02:04.6870", "72.0510", "37.8440", "14.7920",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:37.5290", "45.0770", "37.9040", "14.5480",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "02:14.7870", "81.5740", "38.6280", "14.5850",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:37.4610", "44.9770", "37.9800", "14.5040",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "02:41.1270", "103.3370", "42.3500", "15.4400",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "01:40.8360", "45.8450", "39.6320", "15.3590",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "02:31.4200", "98.8830", "37.8080", "14.7290",  "F:H - R:H",     
Average,,,"02:03.9781", "70.2491", "38.8780", "14.8510"
Best possible,,, "01:37.2890", "44.9770", "37.8080", "14.5040"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"maestro"
"1 ", ks_mazda_mx5_cup, no,"0", "01:46.1130", "51.9960", "39.7120", "14.4050",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:37.7350", "45.1620", "38.0830", "14.4900",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "02:07.3110", "74.7010", "38.1510", "14.4590",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:37.5050", "44.8110", "38.2320", "14.4620",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "03:02.1990", "129.9980", "37.7460", "14.4550",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "01:38.0460", "45.3320", "38.1600", "14.5540",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:37.7300", "45.1250", "38.1020", "14.5030",  "F:H - R:H",     
"8 ", ks_mazda_mx5_cup, no,"0", "01:37.5530", "45.1100", "37.8950", "14.5480",  "F:H - R:H",     
Average,,,"01:53.0240", "60.2794", "38.2601", "14.4845"
Best possible,,, "01:36.9620", "44.8110", "37.7460", "14.4050"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"xPsychedelix"
"1 ", ks_mazda_mx5_cup, no,"0", "02:26.2350", "93.3280", "38.2000", "14.7070",  "F:H - R:H",     
"2 ", ks_mazda_mx5_cup, no,"0", "01:38.4060", "45.3640", "38.2820", "14.7600",  "F:H - R:H",     
"3 ", ks_mazda_mx5_cup, no,"0", "01:38.6030", "45.9940", "37.9310", "14.6780",  "F:H - R:H",     
"4 ", ks_mazda_mx5_cup, no,"0", "01:38.1210", "45.4030", "38.0390", "14.6790",  "F:H - R:H",     
"5 ", ks_mazda_mx5_cup, no,"0", "03:28.2690", "155.5060", "38.1380", "14.6250",  "F:H - R:H",     
"6 ", ks_mazda_mx5_cup, no,"0", "01:37.9920", "45.1070", "38.2820", "14.6030",  "F:H - R:H",     
"7 ", ks_mazda_mx5_cup, no,"0", "01:37.6760", "45.1250", "38.0350", "14.5160",  "F:H - R:H",     
Average,,,"02:00.7575", "67.9753", "38.1296", "14.6526"
Best possible,,, "01:37.5540", "45.1070", "37.9310", "14.5160"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"Viperion_NZ"
"1 ", ks_mazda_mx5_cup, no,"0", "02:19.1080", "86.2380", "38.0830", "14.7870",  "F:H - R:H",     
