'+++++++++++++++++++++
Practice
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Practice"
Track:, "zolder, zolder2017online_prc"
"
Best lap, "McLarenTim (01:25.1280)"
Lasted laps, "5"
Host, "Unknown"



Practice result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "Timberwolves Racing", "urd_t5_maures_2018", "McLarenTim", "3", "01:25.1280", "-",
"2",   "", "", "urd_t5_bayro_2018", "JEMknight657", "5", "01:26.0720", "00:00.9440",
"3",   "", "Timberwolves Racing", "urd_t5_maures_2018", "PhotonBurst", "4", "01:26.1380", "00:01.0100",
"4",   "", "", "urd_t5_aura_2018", "Waffles", "5", "01:26.5740", "00:01.4460",
"5",   "", "PRT Gold", "urd_t5_aura_2018", "MrGrinder", "3", "01:26.6030", "00:01.4750",
"6",   "", "PRT Gold", "urd_t5_aura_2018", "gunciz", "2", "01:27.2140", "00:02.0860",
"7",   "", "PRT Black", "urd_t5_aura_2018", "gman197002", "5", "01:27.6830", "00:02.5550",
"marzen224", "urd_t5_bayro_2018", "-",
"bacsi97", "urd_t5_bayro_2018", "-",
"gunciz", "urd_t5_aura_2018", "-",
"Broadcast", "ford_transit", "-",




Practice sectors
'======================
'------------------------
Sector 1
'------------------------
Driver, Vehicle, Time, Gap,
"JEMknight657", "urd_t5_bayro_2018", "27.0960", "-"
"PhotonBurst", "urd_t5_maures_2018", "27.1660", "0.0700"
"Waffles", "urd_t5_aura_2018", "27.2550", "0.1590"
"McLarenTim", "urd_t5_maures_2018", "27.3740", "0.2780"
"MrGrinder", "urd_t5_aura_2018", "27.5180", "0.4220"
"NotJames", "urd_t5_bayro_2018", "27.5770", "0.4810"
"gman197002", "urd_t5_aura_2018", "27.6190", "0.5230"
"Viperion_NZ", "urd_t5_aura_2018", "27.9450", "0.8490"
"NihonTiger", "urd_t5_bayro_2018", "27.9770", "0.8810"
"marzen224", "urd_t5_bayro_2018", "28.1960", "1.1000"
"gunciz", "urd_t5_aura_2018", "28.3490", "1.2530"
"bacsi97", "urd_t5_bayro_2018", "28.7200", "1.6240"
"Trempale", "urd_t5_bayro_2018", "28.8380", "1.7420"
"SBD", "urd_t5_bayro_2018", "122.0270", "94.9310"
'------------------------
Sector 2
'------------------------
Driver, Vehicle, Time, Gap,
"McLarenTim", "urd_t5_maures_2018", "29.6690", "-"
"gunciz", "urd_t5_aura_2018", "30.0700", "0.4010"
"PhotonBurst", "urd_t5_maures_2018", "30.1540", "0.4850"
"bacsi97", "urd_t5_bayro_2018", "30.2040", "0.5350"
"MrGrinder", "urd_t5_aura_2018", "30.2390", "0.5700"
"JEMknight657", "urd_t5_bayro_2018", "30.2440", "0.5750"
"NotJames", "urd_t5_bayro_2018", "30.3660", "0.6970"
"Waffles", "urd_t5_aura_2018", "30.4190", "0.7500"
"gman197002", "urd_t5_aura_2018", "30.5510", "0.8820"
"Trempale", "urd_t5_bayro_2018", "30.8920", "1.2230"
"Viperion_NZ", "urd_t5_aura_2018", "31.2610", "1.5920"
"NihonTiger", "urd_t5_bayro_2018", "31.3160", "1.6470"
"marzen224", "urd_t5_bayro_2018", "31.7250", "2.0560"
"SBD", "urd_t5_bayro_2018", "32.1670", "2.4980"
'------------------------
Sector 3
'------------------------
Driver, Vehicle, Time, Gap,
"McLarenTim", "urd_t5_maures_2018", "28.0850", "-"
"Waffles", "urd_t5_aura_2018", "28.4980", "0.4130"
"JEMknight657", "urd_t5_bayro_2018", "28.5880", "0.5030"
"bacsi97", "urd_t5_bayro_2018", "28.6870", "0.6020"
"Trempale", "urd_t5_bayro_2018", "28.7240", "0.6390"
"MrGrinder", "urd_t5_aura_2018", "28.7820", "0.6970"
"gunciz", "urd_t5_aura_2018", "28.7950", "0.7100"
"PhotonBurst", "urd_t5_maures_2018", "28.8050", "0.7200"
"gman197002", "urd_t5_aura_2018", "28.9390", "0.8540"
"Viperion_NZ", "urd_t5_aura_2018", "29.1380", "1.0530"
"NotJames", "urd_t5_bayro_2018", "29.1550", "1.0700"
"marzen224", "urd_t5_bayro_2018", "29.7220", "1.6370"
"NihonTiger", "urd_t5_bayro_2018", "30.5100", "2.4250"
"SBD", "urd_t5_bayro_2018", "73.4220", "45.3370"


Practice incidents worth reviewing
'======================
Date, Incident







'+++++++++++++++++++++
Qualify
'+++++++++++++++++++++

Game:, "Assetto Corsa"
Session:, "Qualify"
Track:, "zolder, zolder2017online_prc"
Pole, "McLarenTim(01:24.0600)"
Lasted laps, "7"
Host, "Unknown"



Qualify result
'======================
Pos,   Class, Team, Vehicle, Driver, Laps, Best lap, Gap
"1",   "", "Timberwolves Racing", "urd_t5_maures_2018", "McLarenTim", "7", "01:24.0600", "-",
"2",   "", "", "urd_t5_bayro_2018", "JEMknight657", "7", "01:24.8960", "00:00.8360",
"3",   "", "Timberwolves Racing", "urd_t5_maures_2018", "PhotonBurst", "4", "01:25.2260", "00:01.1660",
"4",   "", "PRT Gold", "urd_t5_aura_2018", "gunciz", "5", "01:25.5850", "00:01.5250",
"5",   "", "PRT Gold", "urd_t5_aura_2018", "MrGrinder", "5", "01:25.6990", "00:01.6390",
"6",   "", "", "urd_t5_aura_2018", "Waffles", "7", "01:25.8940", "00:01.8340",
"7",   "", "M Power", "urd_t5_bayro_2018", "SBD", "5", "01:26.1140", "00:02.0540",
"8",   "", "M Power", "urd_t5_bayro_2018", "bacsi97", "6", "01:26.6920", "00:02.6320",
"9",   "", "Monterey SimSport", "urd_t5_bayro_2018", "NotJames", "5", "01:26.8780", "00:02.8180",
"10",   "", "Monterey SimSport", "urd_t5_bayro_2018", "Trempale", "5", "01:27.2190", "00:03.1590",
"11",   "", "", "urd_t5_bayro_2018", "NihonTiger", "6", "01:27.2980", "00:03.2380",
"12",   "", "PRT Black", "urd_t5_aura_2018", "gman197002", "4", "01:27.4200", "00:03.3600",
"13",   "", "PRT Black", "urd_t5_aura_2018", "Viperion_NZ", "5", "01:28.5800", "00:04.5200",
"14",   "", "", "urd_t5_bayro_2018", "marzen224", "4", "01:29.1840", "00:05.1240",
"15",   "", "", "urd_t5_bayro_2018", "SouP", "0", "-", "-",
"16",   "", "", "urd_t5_bayro_2018", "007mnbb", "0", "-", "-",
"17",   "", "", "ford_transit", "Broadcast", "0", "-", "-",

Qualify laps
'======================
Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"McLarenTim"
"1 ", urd_t5_maures_2018, no,"0", "01:40.1340", "40.5310", "31.2480", "28.3550",  "F:M - R:M",     
"2 ", urd_t5_maures_2018, no,"0", "01:24.3520", "26.6130", "29.4470", "28.2920",  "F:M - R:M",     
"3 ", urd_t5_maures_2018, no,"0", "01:24.2730", "26.7530", "29.1960", "28.3240",  "F:M - R:M",     
"4 ", urd_t5_maures_2018, no,"0", "02:05.0730", "59.4900", "33.3800", "32.2030",  "F:M - R:M",     
"5 ", urd_t5_maures_2018, no,"0", "01:24.0600", "26.7610", "29.2990", "28.0000",  "F:M - R:M",     
"6 ", urd_t5_maures_2018, no,"0", "01:24.9410", "26.9680", "29.6510", "28.3220",  "F:M - R:M",     
"7 ", urd_t5_maures_2018, no,"0", "01:25.7500", "26.7410", "29.5700", "29.4390",  "F:M - R:M",     
Average,,,"01:32.6547", "33.4081", "30.2559", "28.9907"
Best possible,,, "01:23.8090", "26.6130", "29.1960", "28.0000"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"JEMknight657"
"1 ", urd_t5_bayro_2018, no,"0", "02:12.1540", "70.5440", "31.3750", "30.2350",  "F:M - R:M",     
"2 ", urd_t5_bayro_2018, no,"0", "01:25.9780", "27.3750", "29.9610", "28.6420",  "F:M - R:M",     
"3 ", urd_t5_bayro_2018, no,"0", "01:25.3620", "27.0600", "30.0190", "28.2830",  "F:M - R:M",     
"4 ", urd_t5_bayro_2018, no,"0", "01:25.6710", "27.2160", "29.9600", "28.4950",  "F:M - R:M",     
"5 ", urd_t5_bayro_2018, no,"0", "01:25.7880", "27.3370", "30.0560", "28.3950",  "F:M - R:M",     
"6 ", urd_t5_bayro_2018, no,"0", "01:24.8960", "26.7570", "29.7490", "28.3900",  "F:M - R:M",     
"7 ", urd_t5_bayro_2018, no,"0", "01:25.8440", "27.3040", "29.9570", "28.5830",  "F:M - R:M",     
Average,,,"01:32.2419", "33.3704", "30.1539", "28.7176"
Best possible,,, "01:24.7890", "26.7570", "29.7490", "28.2830"

Lap, Vehicle, Pit, Pit time, Time, Sector 1, Sector 2, Sector 3,  Compound,     
"PhotonBurst"
"1 ", urd_t5_maures_2018, no,"0", "02:05.3840", "62.8970", "32.2880", "30.1990",  "F:M - R:M",     
"2 ", urd_t5_maures_2018, no,"0", "03:09.6640", "128.7650", "31.8880", "29.0110",  "F:M - R:M",     
"3 ", urd_t5_maures_2018, no,"0", "01:25.2260", "27.0680", "29.9030", "28.2550",  "F:M - R:M",     
